Date,RoomNumber
1,
2,337 - 543
3,544 - 812
4,813 - 1030
5,1032 - 1241
6,1243 - 1523
7,112 - 336
8,
9,337 - 543
10,544 - 812
11,813 - 1030
12,1032 - 1241
13,1243 - 1523
14,112 - 336
15,
16,337 - 543
17,544 - 812
18,813 - 1030
19,1032 - 1241
20,1243 - 1523
21,112 - 336
22,
23,337 - 543
24,544 - 812
25,813 - 1030
26,1032 - 1241
27,1243 - 1523
28,
