Date,RoomNumber
1,
2,116 - 329
3,330 - 534
4,
5,535 - 804
6,805 - 1013
7,1014 - 1218
8,1219 - 1424
9,1425 - 1632
10,116 - 329
11,
12,330 - 534
13,535 - 804
14,805 - 1013
15,
16,
17,1014 - 1218
18,
19,1219 - 1424
20,1425 - 1632
21,116 - 329
22,330 - 534
23,535 - 804
24,805 - 1013
25,
26,
27,1014 - 1218
28,1219 - 1424
29,1425 - 1632
30,
31,
