Day,Breakfast,Lunch,Snacks,Dinner
Monday,"1.Onion aloo Veg Partha+ Tomato Chtuney + Curd
2.Dosa (podi karam) + Sambar + peanut onion chutny
3.Toasted Bread + Butter + Jam
4.Tea/Coffee","1. phulka +Aloo Peas+ methi Dal
2. Tamarind Rice
3. White Rice+ Chettinad sambar + Carrot & Beans mixed Poriyal+ Uduppi Tomato Rasam + Curd
4. Parupu Podi + Ghee + Thorvaiyal + Pickle+ Papad
5. Fruit + Lemon juice","Vada paw
Tea/Coffee/Milk","1. Phulka- Mix veg gravy +Jeera Dal
2. White rice+Aloo bindhi dry
3. Rasam+Curd+Pickle
4. Vanilla ice cream +Salad(beetroot )+Milk"
Tuesday,"1. Paneer Paratha +Tomoto Onion Gravy+Curd
2. Rava idly+Vada + Sambar +Coconut chutny
3. Bread + Butter + Jam
4. Tea/Coffee","1. Phulka+ Rajma gravy
2. Veg Pulao+Boondi Raitha+ Dal fry
3. White Rice + Mochai Kara Kolambu + pudalangai poriyal+ Paruppu Rasam
4. Parupu Podi + Ghee + Thovaiyal+ Pickle+ papad
5. Banana + butter milk","Veg.Puff + Sauce
Tea/Coffee/Milk","1. Chapathi+ Soya chunk gravy
2. Coconut Rice+ Harar dal
3. White rice+beans poriyal+Rasam+ curd+Pickle
4. Milk
5. sooji halwa"
Wednesday,"1.Namkeen poha
2. Masala Dosai + Sambar + Coconut chutny
3. Bread + Butter + Jam
4. Tea/Coffee","1. Chapathi + matar Paneer
2. Ghee Rice + panchamcl Dal
3. White Rice + Arachivitta sambar + Keerai Poriyal + Milagu Rasam
6. Parupu Podi + Ghee + Thovaiyal+ Pickle+ fryums
4. Fruit(Papaya) + Lemon mint juice","Pani poori
Tea/Coffee/Milk","1. White Chenna Masala + Atta poori
2. White rice+kara Kulambu +Mixed Vegetable Porial+Rasam+Pickle
3.Veg Salad + Vanila milk"
Thursday,"1. Aloo Stuffed Paratha + Curd+Pickle
2. Andra bonda +idly + Chettinad kaara chutney
3. Wheat Bread + Butter + Jam
4. Tea/Coffee","1. Phulka + Paneer tikka masala
2. Bisebella Bath + Chips
White Rice + kaaramani poriyal + Moong Dal Rasam + Curd
3. Parupu Podi + Gingelly Oil + Butter milk +Thovaiyal+Pickle
4. Fruit Salad(Green Grapes+ Pineapple)","pasta
Tea/Coffee/Milk","1. Chapathi + Dry aloo jeera
2. Rawa khichdi + Ahrar dal tadka + Coconut chutney
3. White Rice+senai kezhangu varuval+Rasam+Curd
4. Chocolate Milkshake+Salad"
Friday,"Poori+white channa
Millet Mixed Idly+Vada+Sambar+Tomato pudhina chutny
Bread + Butter + Jam
Tea/Coffee","1. Pulka + Lauki kofta Gravy + Aandhara pappu
2. Kashmiri pulav
3 White Rice + potato,pattani masiyal + Pineapple Rasam +mint Buttermilk
4 Parupu Podi + Ghee + Thovaiyal + Pickle+ Papad
5. Fruits(Watermelon)","Masala Vada+Coconut chutney
Tea/Coffee/Milk","1. Ajwain chapathi + Black chenna masaala
2. Idly+Chutney+Sambar
3. White rice+Gobi 65+Rasam+Curd+Pickle
4. Mothichur ladoo"
Saturday,"1. Onion Dosa+sambar + coconut chutny
2 white rava upma
3.Wheat Bread +Butter+Jam
4. Tea/Coffee","1. Phulka + Dal Tadka
2. Schezvan Fried Rice + Veg Manchurian 3 White Rice + kongunadu Sambar +Keerai Porial/Kootu+ Milagu rsasam + Curd
4. Parupu Podi + Gingelly Oil + Thovaiyal + Fryams + Pickle
5. Fruit(Banana)+Lemon Mint Juice","Masala chana chat
Tea/Coffee/Milk","1. Phulka + Bhindi onion bhaji
2. JEERA RICE+Dal fry
3. Plain Rice +Kadai Pakkoda Curry +Rasam
4. Papad+ Pickle+Salad+milk"
Sunday,"1. Pav Bajji
2. Millet mixed pongal+Vada + Sambar + Coconut chutny
3.Bread + Butter + Jam
4. Tea/ Coffee","1. Chapati + Paneer butter masala
2. DumVegBriyani(more veggies) + Gobi and Aloo mixed Fry +Onion Raitha + Curd Rice
3. Pickle
4. Mixed fruits(watermelon+grapes)+ Lemon mint juice","salted peanut
Tea/Coffee/Milk","1. Pulka +Dal Makhani
2. Masala Dosa+Chutney+Sambar
3. White Rice+ Aloo Capcicum Dry+Rasam
4. Gulab Jamun +Salad"
