Date,RoomNumber
1,
2,113 - 331
3,332 - 516
4,
5,525 - 638
6,639 - 831
7,832 - 1027
8,1028 - 1210
9,1211 - 600C
10,113 - 331
11,
12,332 - 516
13,525 - 638
14,639 - 831
15,
16,
17,832 - 1027
18,
19,1028 - 1210
20,1211 - 600C
21,113 - 331
22,332 - 516
23,525 - 638
24,639 - 831
25,
26,
27,832 - 1027
28,1028 - 1210
29,1211 - 600C
30,
31,
