Date,RoomNumber
1,
2,318 - 601
3,602 - 821
4,822 - 1131
5,1132 - 1413
6,1414 - 1635
7,101 - 317
8,
9,318 - 601
10,602 - 821
11,822 - 1131
12,1132 - 1413
13,1414 - 1635
14,101 - 317
15,
16,318 - 601
17,602 - 821
18,822 - 1131
19,1132 - 1413
20,1414 - 1635
21,101 - 317
22,
23,318 - 601
24,602 - 821
25,822 - 1131
26,1132 - 1413
27,1414 - 1635
28,
