Date,RoomNumber
1,
2,201 - 206
3,207 - 213
4,
5,214 - 220
6,221 - 229
7,230 - 238
8,239 - 249
9,250 - 357
10,201 - 206
11,
12,207 - 213
13,214 - 220
14,221 - 229
15,
16,
17,230 - 238
18,
19,239 - 249
20,250 - 357
21,201 - 206
22,207 - 213
23,214 - 220
24,221 - 229
25,
26,
27,230 - 238
28,239 - 249
29,250 - 357
30,
31,
